ID,Age,Consumption Rate,Salary
1,60,70,6325
2,30,79,5200
3,52,86,7825
4,57,17,8375
5,55,6,5450
6,68,27,8550
7,41,21,4500
8,20,69,5050
9,33,13,8325
10,37,32,5975
11,33,59,5700
12,21,96,6475
13,48,46,3850
14,46,30,4100
15,68,83,8125
16,35,144,8650
17,72,91,5125
18,20,10,3950
19,26,80,5325
20,60,66,5775
21,49,26,3400
22,22,0,7075
23,41,91,5725
24,30,52,4300
25,56,127,7500
26,56,41,5000
27,66,26,5325
28,45,76,5350
29,29,27,2600
30,32,37,6250
31,20,4,3075
32,32,35,4875
33,63,47,5525
34,60,96,7225
35,23,35,5275
36,29,41,6050
37,70,46,3425
38,61,10,4600
39,48,50,4575
40,66,111,8525
41,51,103,8100
42,19,24,4725
43,48,84,7425
44,74,15,6200
45,64,6,5875
46,58,36,4025
47,24,42,4150
48,35,61,5625
49,30,53,5300
50,63,119,6350
51,21,22,5800
52,25,69,6325
53,60,106,8800
54,55,139,8400
55,33,76,5650
56,60,88,6800
57,72,22,4725
58,63,84,5575
59,22,36,3675
60,50,75,5775
61,70,125,7550
62,66,97,6525
63,39,46,4525
64,29,27,7925
65,60,54,8800
66,52,14,4100
67,24,58,5175
68,63,84,6350
69,69,32,6575
70,74,19,4375
71,40,86,5875
72,52,74,9250
73,20,99,6650
74,65,66,7775
75,43,23,3575
76,37,4,7650
77,28,107,7825
78,72,74,8525
79,59,38,5700
80,53,27,8575
81,36,14,3975
82,29,17,4075
83,29,38,4925
84,28,52,4175
85,68,136,7075
86,54,71,7450
87,65,79,8575
88,53,35,3825
89,19,29,4850
90,68,27,6600
91,74,80,8350
92,52,16,7950
93,48,134,7725
94,56,55,6800
95,22,7,3425
96,33,56,7725
97,51,29,4400
98,50,86,9175
99,20,2,5250
100,29,3,2650
101,62,38,6950
102,72,136,9575
103,53,78,7625
104,40,14,2600
105,36,14,7775
106,72,64,9125
107,75,83,8675
108,59,34,4500
109,37,62,5925
110,65,129,6800
111,73,116,9250
112,66,93,5750
113,69,67,10075
114,19,69,5375
115,59,98,5725
116,64,42,3250
117,66,7,8475
118,67,98,7925
119,53,35,2675
120,64,57,9800
121,29,26,5300
122,26,54,4550
123,71,94,6325
124,46,76,5900
125,30,68,5500
126,50,45,4550
127,44,25,2725
128,68,17,3425
129,67,120,8225
130,39,0,6150
131,29,24,3225
132,33,49,6425
133,48,52,3725
134,73,59,3500
135,31,54,4375
136,25,0,6325
137,64,45,5200
138,32,49,4475
139,71,86,4875
140,34,53,6375
141,72,94,6525
142,58,4,3100
143,67,39,8325
144,33,59,5850
145,51,75,8250
146,41,46,5675
147,24,31,5600
148,21,35,4075
149,36,38,3475
150,57,17,6275
151,23,32,4025
152,55,40,4450
153,55,70,6400
154,25,3,4575
155,30,49,7025
156,53,116,6450
157,75,19,2950
158,34,42,4350
159,48,106,6325
160,33,18,5550
161,29,46,4175
162,24,31,3800
163,61,31,8950
164,34,37,4525
165,25,21,4050
166,41,37,4775
167,31,54,4575
168,75,95,7425
169,31,12,8075
170,26,29,6525
171,57,88,4950
172,23,30,6500
173,39,17,6325
174,30,39,6875
175,28,64,5175
176,67,28,8925
177,22,23,7825
178,32,54,5350
179,73,112,8075
180,65,55,5675
181,39,45,4750
182,57,73,6200
183,38,60,6975
184,69,125,9525
185,72,101,6675
186,66,136,9275
187,22,4,4750
188,30,3,7975
189,41,33,6225
190,23,21,2800
191,57,45,5450
192,25,10,2875
193,74,39,5975
194,44,76,6175
195,44,13,5325
196,22,97,7900
197,39,84,7675
198,25,34,4000
199,30,42,5500
200,23,48,4150
